DATE,NATURALGASD11
2000-01-01,1809.7
2000-02-01,1830.4
2000-03-01,1722.9
2000-04-01,1840.5
2000-05-01,1970.4
2000-06-01,1880.6
2000-07-01,1737.5
2000-08-01,1850.6
2000-09-01,1858.3
2000-10-01,1872.4
2000-11-01,1967.7
2000-12-01,2138.9
2001-01-01,1925.6
2001-02-01,1880.0
2001-03-01,1893.8
2001-04-01,1872.1
2001-05-01,1833.8
2001-06-01,1794.0
2001-07-01,1821.5
2001-08-01,1869
2001-09-01,1882.2
2001-10-01,1968
2001-11-01,1757.2
2001-12-01,1748.7
2002-01-01,1786.1
2002-02-01,1820.9
2002-03-01,1910.2
2002-04-01,1961.7
2002-05-01,1940.4
2002-06-01,1973.8
2002-07-01,1988.1
2002-08-01,1925.7
2002-09-01,1940.6
2002-10-01,1965.1
2002-11-01,1986.8
2002-12-01,1956.6
2003-01-01,1938.4
2003-02-01,2027.4
2003-03-01,1864.4
2003-04-01,1833.9
2003-05-01,1823.2
2003-06-01,1689.6
2003-07-01,1807.8
2003-08-01,1836.7
2003-09-01,1801.3
2003-10-01,1852.5
2003-11-01,1828.3
2003-12-01,1851.3
2004-01-01,1927.0
2004-02-01,1957.5
2004-03-01,1788.7
2004-04-01,1849
2004-05-01,1895.6
2004-06-01,1822.4
2004-07-01,1779
2004-08-01,1741.9
2004-09-01,1868.8
2004-10-01,1855.7
2004-11-01,1870.2
2004-12-01,1896.5
2005-01-01,1851.0
2005-02-01,1818.9
2005-03-01,1885.8
2005-04-01,1836.3
2005-05-01,1836.8
2005-06-01,1872.5
2005-07-01,1885.5
2005-08-01,1867.1
2005-09-01,1796.9
2005-10-01,1696.5
2005-11-01,1746.3
2005-12-01,1884.7
2006-01-01,1567.7
2006-02-01,1743.7
2006-03-01,1824.8
2006-04-01,1793.7
2006-05-01,1850.8
2006-06-01,1886.9
2006-07-01,1965.6
2006-08-01,1923.4
2006-09-01,1841.5
2006-10-01,1948.5
2006-11-01,1852.1
2006-12-01,1713.7
2007-01-01,1788.3
2007-02-01,2090.7
2007-03-01,1839.2
2007-04-01,1936
2007-05-01,1902.6
2007-06-01,1889.5
2007-07-01,1854.3
2007-08-01,2082.7
2007-09-01,2001.4
2007-10-01,1920.4
2007-11-01,1915.5
2007-12-01,1926.8
2008-01-01,1966.1
2008-02-01,1962.1
2008-03-01,1991
2008-04-01,1958.1
2008-05-01,1934.6
2008-06-01,1952.4
2008-07-01,1910.2
2008-08-01,1845.1
2008-09-01,1828.3
2008-10-01,1925.4
2008-11-01,1938.1
2008-12-01,1919.9
2009-01-01,1952.7
2009-02-01,1906.3
2009-03-01,1923.7
2009-04-01,1882.7
2009-05-01,1846.6
2009-06-01,1860.6
2009-07-01,1848.6
2009-08-01,1906
2009-09-01,1962.7
2009-10-01,1954.9
2009-11-01,1823.8
2009-12-01,1984.4
2010-01-01,2008.3
2010-02-01,2038.7
2010-03-01,1919.5
2010-04-01,1841.7
2010-05-01,1982.7
2010-06-01,2010.9
2010-07-01,2027.2
2010-08-01,2062.8
2010-09-01,2028.2
2010-10-01,1953.6
2010-11-01,2003.3
2010-12-01,2153.2
2011-01-01,2070.4
2011-02-01,2028.3
2011-03-01,2009.9
2011-04-01,2002.3
2011-05-01,2035.2
2011-06-01,2020.5
2011-07-01,2089.5
2011-08-01,2080.2
2011-09-01,2043.3
2011-10-01,2044.8
2011-11-01,2037.9
2011-12-01,2011.0
2012-01-01,1988.4
2012-02-01,2000.6
2012-03-01,1917.9
2012-04-01,2155.8
2012-05-01,2278.1
2012-06-01,2277.9
2012-07-01,2285.6
2012-08-01,2213.7
2012-09-01,2215.8
2012-10-01,2222.9
2012-11-01,2152.1
2012-12-01,1979.9
2013-01-01,2089.3
2013-02-01,2157.3
2013-03-01,2264.6
2013-04-01,2183.8
2013-05-01,2121.7
2013-06-01,2117.7
2013-07-01,2127.3
2013-08-01,2128.2
2013-09-01,2154.3
2013-10-01,2176.3
2013-11-01,2286.4
2013-12-01,2306.9
2014-01-01,2339.9
2014-02-01,2325.0
2014-03-01,2284.1
2014-04-01,2190.7
2014-05-01,2188.1
2014-06-01,2112.3
2014-07-01,2074.9
2014-08-01,2134.5
2014-09-01,2192.7
2014-10-01,2223.9
2014-11-01,2325.6
2014-12-01,2111.9
